key-for-ranking,PCTFLOAN,PCIP16,PPTUG_EF,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,SATMTMID,SATVRMID,SATWRMID,UGDS,DEBT_EARNINGS_RATIO
12268508,,,,,,,,,,,,49
207564,0.475,0.0,0.2297,0.2953,0.0291,0.0647,0.0051,,,,2164.0,36
420024,0.8125,0.0,0.2315,0.2808,0.5665,0.0493,0.0,,,,203.0,127
164492,0.7465,0.0,0.2621,0.6518,0.1258,0.1022,0.0123,,,,1057.0,76
234085,0.4589,0.0321,0.0,0.7992,0.0607,0.0584,0.042,575.0,575.0,,1713.0,53
244446,0.5136,0.0,0.7546,0.096,0.8181,0.0289,0.0203,,,,3354.0,54
451714,0.5457,0.0,0.0488,0.2369,0.0523,0.5958,0.0244,,,,287.0,44
188137,0.0741,0.0105,0.6453,0.3641,0.0215,0.5138,0.0171,,,,3400.0,42
216542,0.7312,0.0,0.159,0.5431,0.1712,0.1792,0.0121,,,,742.0,105
178369,0.5767,0.0,0.0363,0.4764,0.2009,0.079,0.0073,,,,1379.0,96
119553,0.7321,0.0,0.0544,0.4081,0.0871,0.1436,0.0794,,,,919.0,42
111762,0.1401,0.0,0.0,0.0217,0.0217,0.9457,0.0,,,,92.0,32
193584,0.7789,0.0168,0.0405,0.7765,0.0664,0.0532,0.0306,,,,2125.0,71
198507,0.7466,0.0,0.0645,0.1643,0.728,0.0259,0.0024,440.0,430.0,395.0,1272.0,110
416670,0.6614,0.0,0.3939,0.303,0.6364,0.0303,0.0303,,,,33.0,44
447175,0.5723,0.0,0.1216,0.2027,0.4189,0.1757,0.0135,,,,74.0,61
237321,0.958,0.0,0.0,0.9474,0.0351,0.0175,0.0,,,,57.0,61
195702,0.8981,0.0,0.6888,0.8878,0.0255,0.0153,0.0306,,,,196.0,30
220464,0.475,0.0,0.314,0.7907,0.1977,0.0,0.0116,,,,86.0,42
184603,0.38299999999999995,0.001,0.3249,0.2339,0.1099,0.3719,0.0461,490.0,480.0,,3450.0,65
101736,0.2768,0.0,0.4763,0.7846,0.1212,0.0484,0.0033,,,,2994.0,56
204255,0.23199999999999998,0.0,0.5562,0.8433,0.0262,0.01,0.0031,,,,1602.0,41
199458,0.7402,0.0,0.1865,0.6943,0.228,0.0363,0.0104,509.0,423.0,440.0,193.0,110
239743,0.5248,0.0,0.392,0.6278,0.1335,0.0824,0.0284,,,,352.0,78
451820,0.6935,0.0,0.3248,0.3578,0.1844,0.3639,0.0147,,,,819.0,117
