UNITID,PCTFLOAN,PCIP16,PPTUG_EF,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,SATMTMID,SATVRMID,SATWRMID,UGDS,DEBT_EARNINGS_RATIO,OPEID,OPEID6,HCM2,SATVR25,SATVR75,SATMT25,SATMT75,SATWR25,SATWR75,ACTCM25,ACTCM75,ACTEN25,ACTEN75,ACTMT25,ACTMT75,ACTWR25,ACTWR75,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG,SAT_AVG_ALL,PCIP01,PCIP03,PCIP04,PCIP05,PCIP09,PCIP10,PCIP11,PCIP12,PCIP13,PCIP14,PCIP15,PCIP19,PCIP22,PCIP23,PCIP24,PCIP25,PCIP26,PCIP27,PCIP29,PCIP30,PCIP31,PCIP38,PCIP39,PCIP40,PCIP41,PCIP42,PCIP43,PCIP44,PCIP45,PCIP46,PCIP47,PCIP48,PCIP49,PCIP50,PCIP51,PCIP52,PCIP54,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,NPT4_PUB,NPT4_PRIV,NPT41_PUB,NPT42_PUB,NPT43_PUB,NPT44_PUB,NPT45_PUB,NPT41_PRIV,NPT42_PRIV,NPT43_PRIV,NPT44_PRIV,NPT45_PRIV,PCTPELL,RET_FT4,RET_FTL4,RET_PT4,RET_PTL4,UG25ABV
12268508,,,,,,,,,,,,49,2120707,21207,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207564,0.475,0.0,0.2297,0.2953,0.0291,0.0647,0.0051,,,,2164.0,36,317200,3172,0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.1667,0.0437,0.0943,0.0,0.2855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1913,0.0,0.0,0.0396,0.1134,0.0601,0.0,0.1459,0.0012,0.0754,0.0132,0.0412,8597.0,,6631.0,10767.0,10576.0,11573.0,11591.0,,,,,,0.4884,0.2105,,0.6,,0.3101
420024,0.8125,0.0,0.2315,0.2808,0.5665,0.0493,0.0,,,,203.0,127,2334403,23344,0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0686,0.0,0.0,0.0,0.0,0.0,0.0882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7451,0.098,0.0,0.0,0.0,0.0916,0.0,0.0382,,23671.0,,,,,,23691.0,23218.0,,,,0.6566,,0.3333,,0.125,0.6506
164492,0.7465,0.0,0.2621,0.6518,0.1258,0.1022,0.0123,,,,1057.0,76,211700,2117,0,,,,,,,,,,,,,,,,,,,,,0.0,0.0043,0.0,0.0,0.0128,0.0,0.0,0.0,0.0256,0.0,0.0,0.0,0.0128,0.0043,0.0299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0043,0.0,0.0,0.0299,0.3932,0.0897,0.0,0.0,0.0,0.0,0.0,0.0342,0.2094,0.141,0.0085,0.0027,0.0027,0.0208,0.0054,0.0912,,27265.0,,,,,,23853.0,24589.0,27220.0,28708.0,29912.0,0.35,0.6612,,0.0,,0.2948
234085,0.4589,0.0321,0.0,0.7992,0.0607,0.0584,0.042,575.0,575.0,,1713.0,53,375300,3753,0,530.0,630.0,540.0,620.0,500.0,600.0,23.0,28.0,22.0,28.0,23.0,27.0,,,26.0,25.0,25.0,,1162.0,1162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0215,0.0,0.0,0.25,0.0,0.0,0.0,0.0242,0.0,0.0,0.0645,0.0484,0.0,0.0,0.0,0.0,0.0,0.0323,0.0,0.0833,0.0,0.0,0.3226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.121,0.0035,0.0076,0.0165,0.0147,0.0006,17296.0,,5129.0,7700.0,13420.0,19892.0,22656.0,,,,,,0.1463,0.8902,,,,0.0024
244446,0.5136,0.0,0.7546,0.096,0.8181,0.0289,0.0203,,,,3354.0,54,562200,5622,0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.071,0.0264,0.0421,0.0,0.022000000000000002,0.0566,0.0069,0.0019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0566,0.0,0.0,0.0019,0.3514,0.0547,0.0264,0.0025,0.0717,0.20800000000000002,0.0,0.0029,0.0018,0.0197,0.0088,0.0029,9127.0,,8718.0,9872.0,11621.0,13585.0,14720.0,,,,,,0.7098,,0.5587,,0.4361,0.6561
451714,0.5457,0.0,0.0488,0.2369,0.0523,0.5958,0.0244,,,,287.0,44,1248301,12483,0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032,0.0382,0.0032,0.0,,18663.0,,,,,,18250.0,17042.0,20294.0,21477.0,20259.0,0.4539,,0.7581,,,0.2724
188137,0.0741,0.0105,0.6453,0.3641,0.0215,0.5138,0.0171,,,,3400.0,42,2278100,22781,0,,,,,,,,,,,,,,,,,,,,,0.0098,0.0,0.0049,0.0,0.0,0.0159,0.0196,0.033,0.1308,0.0024,0.0196,0.0086,0.0159,0.0086,0.044000000000000004,0.0,0.0037,0.0,0.0,0.0024,0.0134,0.0,0.0,0.0049,0.0,0.0171,0.0269,0.0416,0.0,0.0,0.0147,0.0122,0.0,0.11,0.3032,0.1284,0.0,0.0359,0.0016,0.0131,0.0013,0.0397,9602.0,,9195.0,9879.0,11692.0,14391.0,,,,,,,0.297,,0.5835,,0.4113,0.6441
216542,0.7312,0.0,0.159,0.5431,0.1712,0.1792,0.0121,,,,742.0,105,330600,3306,0,400.0,530.0,390.0,520.0,,,17.0,26.0,15.0,24.0,16.0,26.0,,,22.0,20.0,21.0,,941.0,941.0,0.0,0.0,0.0,0.0,0.1221,0.0,0.0,0.0,0.1145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4809,0.0,0.0,0.145,0.0,0.0382,0.0,0.0,0.0,0.0,0.0,0.0153,0.0,0.084,0.0,0.0042,0.0014,0.0281,0.0028,0.0844,,21842.0,,,,,,20831.0,20623.0,21982.0,24000.0,25821.0,0.4098,0.7313,,,,0.1961
178369,0.5767,0.0,0.0363,0.4764,0.2009,0.079,0.0073,,,,1379.0,96,248900,2489,0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0483,0.0,0.0338,0.0,0.1063,0.0,0.0,0.0,0.0,0.0048,0.0193,0.0,0.057999999999999996,0.0048,0.0,0.0,0.1159,0.0,0.0,0.0,0.0,0.0628,0.1401,0.0,0.0242,0.0,0.0,0.0,0.0,0.0386,0.1111,0.2126,0.0193,0.0065,0.0116,0.0,0.154,0.0289,,16016.0,,,,,,14797.0,13814.0,16971.0,18252.0,18556.0,0.4632,0.5152,,0.6667,,0.1353
