key-for-ranking,Metro_2013,Unemployment_rate_2007,Unemployment_rate_2008,Unemployment_rate_2009,Unemployment_rate_2010,Unemployment_rate_2011,Unemployment_rate_2012,Unemployment_rate_2013,Unemployment_rate_2014,Unemployment_rate_2015,Unemployment_rate_2016
0,,4.6,5.8,9.3,9.6,9.0,8.1,7.4,6.2,5.3,4.9
1000,,4.0,5.7,11.0,10.5,9.6,8.0,7.2,6.8,6.1,5.8
1001,1.0,3.3,5.1,9.7,8.9,8.4,6.9,6.2,5.8,5.2,5.1
1003,1.0,3.1,4.6,9.8,10.0,9.0,7.5,6.6,6.1,5.5,5.3
1005,0.0,6.3,8.8,14.3,12.3,11.5,11.5,10.2,10.5,8.9,8.3
1007,1.0,4.1,5.8,13.3,11.4,10.5,8.5,7.9,7.2,6.6,6.4
1009,1.0,3.2,4.7,10.0,9.8,8.7,6.9,6.3,6.1,5.4,5.4
1011,0.0,9.4,10.5,15.6,11.8,11.6,10.4,9.4,8.8,7.9,6.8
1013,0.0,6.2,8.5,16.4,13.6,12.5,11.5,10.3,8.6,7.6,6.9
1015,1.0,3.9,5.7,11.1,11.4,10.3,8.9,8.8,8.0,7.0,6.5
1017,0.0,6.5,14.4,19.6,14.9,12.0,9.9,8.0,6.7,6.0,5.5
1019,0.0,4.2,5.7,11.7,10.6,9.7,8.0,6.6,5.8,5.4,5.0
1021,1.0,3.4,5.1,10.6,10.3,9.1,7.2,6.6,6.3,5.6,5.5
1023,0.0,5.9,8.3,13.5,13.3,13.1,10.3,9.2,9.0,9.1,8.5
1025,0.0,6.1,9.0,16.5,19.9,18.8,15.0,13.8,12.2,11.7,10.8
1027,0.0,5.5,7.9,16.7,14.5,11.8,9.4,8.3,7.1,6.1,5.9
1029,0.0,3.7,5.1,10.2,10.0,9.7,8.2,7.7,6.6,6.0,6.0
1031,0.0,3.8,4.8,8.5,8.6,8.1,7.0,6.9,6.6,6.0,5.9
1033,1.0,4.6,6.5,11.6,11.5,10.2,8.8,8.2,8.3,7.9,6.9
1035,0.0,6.4,9.4,19.9,17.2,15.2,11.9,10.7,10.3,9.2,8.4
1037,0.0,5.8,8.3,16.0,15.4,12.5,9.4,9.2,8.8,6.7,5.9
1039,0.0,3.9,5.9,10.8,10.3,9.8,8.4,8.1,7.8,7.1,6.7
1041,0.0,4.3,5.6,10.4,10.2,9.9,8.3,7.7,6.9,6.0,5.8
1043,0.0,3.4,4.9,10.3,10.4,9.5,7.7,6.7,6.1,5.3,5.0
1045,0.0,4.0,5.4,9.6,8.8,8.3,7.4,7.4,7.1,6.4,5.8
1047,0.0,8.3,11.1,21.1,16.9,15.1,12.9,12.2,11.2,9.6,9.2
1049,0.0,4.3,5.8,14.3,12.7,11.8,9.0,7.6,6.9,6.1,6.1
1051,1.0,3.3,5.1,9.5,9.1,8.4,6.9,6.2,5.7,5.0,4.7
1053,0.0,5.3,7.6,13.5,11.8,10.8,9.2,8.6,8.0,7.0,6.6
1055,1.0,4.5,6.0,11.5,10.9,10.0,8.2,7.6,7.0,6.2,5.9
1057,0.0,4.7,7.2,14.0,13.0,11.1,8.6,8.3,7.8,7.0,6.7
1059,0.0,4.6,7.4,13.4,10.7,9.6,8.4,8.0,7.7,6.4,5.9
1061,1.0,3.5,5.5,10.8,10.4,9.2,7.6,7.0,6.7,5.9,5.8
1063,0.0,6.4,8.5,15.3,17.3,17.3,13.6,12.8,12.5,11.1,9.9
1065,1.0,5.4,7.4,14.3,15.1,13.8,11.5,11.6,9.9,7.8,7.6
