d3mIndex,datetime,n. trips,n. collisions
0,2014-01-01,420810,399
1,2014-01-02,359958,603
2,2014-01-03,275470,423
3,2014-01-04,417499,418
4,2014-01-05,388542,320
5,2014-01-06,395445,518
6,2014-01-07,460052,491
7,2014-01-08,473611,616
8,2014-01-09,479714,561
9,2014-01-10,507732,667
10,2014-01-11,511172,465
11,2014-01-12,450487,388
12,2014-01-13,419698,568
13,2014-01-14,454108,558
14,2014-01-15,466443,583
15,2014-01-16,482037,521
16,2014-01-17,490852,589
17,2014-01-18,507033,448
18,2014-01-19,462238,380
19,2014-01-20,378450,360
20,2014-01-21,255518,1161
21,2014-01-22,377773,498
22,2014-01-23,462469,612
23,2014-01-24,509509,705
24,2014-01-25,530551,475
25,2014-01-26,457026,465
26,2014-01-27,418863,511
27,2014-01-28,468729,504
28,2014-01-29,477984,649
29,2014-01-30,495971,657
30,2014-01-31,526748,560
31,2014-02-01,533783,507
32,2014-02-02,464225,417
33,2014-02-03,382517,960
34,2014-02-04,454444,613
35,2014-02-05,413853,468
36,2014-02-06,478790,569
37,2014-02-07,512218,675
38,2014-02-08,549967,424
39,2014-02-09,466492,450
40,2014-02-10,435911,678
41,2014-02-11,489373,636
42,2014-02-12,481968,640
43,2014-02-13,326187,447
44,2014-02-14,472229,791
45,2014-02-15,491375,516
46,2014-02-16,457332,464
47,2014-02-17,391723,491
48,2014-02-18,419655,518
49,2014-02-19,446126,552
50,2014-02-20,466020,556
51,2014-02-21,503515,545
52,2014-02-22,522080,587
53,2014-02-23,442458,414
54,2014-02-24,439480,569
55,2014-02-25,472383,513
56,2014-02-26,492982,511
57,2014-02-27,512342,571
58,2014-02-28,544363,655
59,2014-03-01,554906,497
60,2014-03-02,462065,344
61,2014-03-03,463982,440
62,2014-03-04,499349,532
63,2014-03-05,508381,491
64,2014-03-06,531137,558
65,2014-03-07,547177,533
66,2014-03-08,551574,515
67,2014-03-09,473451,404
68,2014-03-10,442200,513
69,2014-03-11,456983,510
70,2014-03-12,483326,515
71,2014-03-13,549191,545
72,2014-03-14,539176,585
73,2014-03-15,547916,519
74,2014-03-16,485008,412
75,2014-03-17,433321,519
76,2014-03-18,469975,551
77,2014-03-19,489567,525
78,2014-03-20,500070,627
79,2014-03-21,516535,589
80,2014-03-22,534441,493
81,2014-03-23,480744,427
82,2014-03-24,443322,547
83,2014-03-25,461531,474
84,2014-03-26,502757,563
85,2014-03-27,507907,538
86,2014-03-28,522404,530
87,2014-03-29,574530,569
88,2014-03-30,462771,437
89,2014-03-31,432430,559
90,2014-04-01,462503,549
91,2014-04-02,483841,519
92,2014-04-03,499912,592
93,2014-04-04,544519,622
94,2014-04-05,543175,580
95,2014-04-06,475267,484
96,2014-04-07,460614,533
97,2014-04-08,467018,606
98,2014-04-09,484663,595
99,2014-04-10,498870,645
100,2014-04-11,506025,609
101,2014-04-12,540202,578
102,2014-04-13,472041,482
103,2014-04-14,419268,513
104,2014-04-15,481424,452
105,2014-04-16,495438,570
106,2014-04-17,508415,508
107,2014-04-18,514893,496
108,2014-04-19,483916,526
109,2014-04-20,429066,393
110,2014-04-21,421347,521
111,2014-04-22,463407,459
112,2014-04-23,501335,536
113,2014-04-24,505056,586
114,2014-04-25,526282,617
115,2014-04-26,540090,548
116,2014-04-27,473210,449
117,2014-04-28,436246,597
118,2014-04-29,483147,555
119,2014-04-30,497569,651
120,2014-05-01,492691,650
121,2014-05-02,516985,698
122,2014-05-03,544063,590
123,2014-05-04,475789,451
124,2014-05-05,461342,618
125,2014-05-06,483245,565
126,2014-05-07,484552,603
127,2014-05-08,508104,596
128,2014-05-09,523936,584
129,2014-05-10,527537,549
130,2014-05-11,454120,584
131,2014-05-12,437492,581
132,2014-05-13,473044,560
133,2014-05-14,466666,638
134,2014-05-15,495003,659
135,2014-05-16,515834,700
136,2014-05-17,506831,619
137,2014-05-18,473932,507
138,2014-05-19,452923,572
139,2014-05-20,472199,650
140,2014-05-21,483979,575
141,2014-05-22,489262,593
142,2014-05-23,495859,660
143,2014-05-24,413311,486
144,2014-05-25,378073,472
145,2014-05-26,336173,433
146,2014-05-27,432969,645
147,2014-05-28,472420,538
148,2014-05-29,489739,663
149,2014-05-30,503977,650
150,2014-05-31,511991,587
151,2014-06-01,435163,604
152,2014-06-02,428122,643
153,2014-06-03,462670,663
154,2014-06-04,482348,582
155,2014-06-05,501694,569
156,2014-06-06,495170,743
157,2014-06-07,504156,623
158,2014-06-08,434856,516
159,2014-06-09,440162,528
160,2014-06-10,463614,569
161,2014-06-11,477219,576
162,2014-06-12,498857,563
163,2014-06-13,496516,708
164,2014-06-14,487611,612
165,2014-06-15,414417,475
166,2014-06-16,423175,622
167,2014-06-17,449368,666
168,2014-06-18,472667,663
169,2014-06-19,487104,675
170,2014-06-20,485548,765
171,2014-06-21,473409,557
172,2014-06-22,430757,477
173,2014-06-23,413205,644
174,2014-06-24,441878,632
175,2014-06-25,468089,646
176,2014-06-26,486884,670
177,2014-06-27,474158,660
178,2014-06-28,472015,611
179,2014-06-29,402696,537
180,2014-06-30,409501,609
